Unnamed: 0,tickers,market,name,BPS,PER,PBR,EPS,DIV,DPS,티커,상장주식수,외_보유수량,외_지분율,외_한도수량,외_한도소진율,mmt,naverTheme,시가총액,-1,0,1,종가
31,1530,KOSPI,DI동일,0.0,0.0,0.0,0.0,0.0,0.0,1530,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['비철금속', '2차전지', '2차전지(소재/부품)', '밸류업(25년 기업가치 제고계획 발표)', '여름']",0.3932,0.003,0.481,0.515,19930.0
32,210,KOSPI,DL,0.0,0.0,0.0,0.0,0.0,0.0,210,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['건설 대표주', '지주사', 'GTX(수도권 광역급행철도)', '원자력발전']",0.769,0.005,0.592,0.403,36700.0
33,375500,KOSPI,DL이앤씨,0.0,0.0,0.0,0.0,0.0,0.0,375500,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['건설 대표주', 'GTX(수도권 광역급행철도)', '원자력발전']",1.6154,0.0,,1.0,41750.0
34,7340,KOSPI,DN오토모티브,0.0,0.0,0.0,0.0,0.0,0.0,7340,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['자동차부품', '지주사']",1.3867,0.002,0.041,0.957,23700.0
35,4840,KOSPI,DRB동일,0.0,0.0,0.0,0.0,0.0,0.0,4840,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,['지주사'],0.0969,0.0,0.002,0.998,4865.0
36,241520,KOSDAQ,DSC인베스트먼트,0.0,0.0,0.0,0.0,0.0,0.0,241520,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['4차산업 수혜주', '창투사', '퓨리오사AI', '두나무(Dunamu)', '일자리(취업)', '마켓컬리(kurly)']",0.1935,0.001,0.003,0.996,7170.0
37,69730,KOSPI,DSR제강,0.0,0.0,0.0,0.0,0.0,0.0,69730,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,['철강 중소형'],0.0531,0.002,0.997,0.001,3690.0
38,17860,KOSPI,DS단석,0.0,0.0,0.0,0.0,0.0,0.0,17860,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,['폐배터리'],0.3277,,,,18640.0
39,180400,KOSDAQ,DXVX,0.0,0.0,0.0,0.0,0.0,0.0,180400,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['비만치료제', '건강기능식품', '마이크로바이옴', '마이코플라스마 폐렴', '메르스 코로나 바이러스']",0.1762,0.998,0.001,0.001,3580.0
40,92780,KOSPI,DYP,0.0,0.0,0.0,0.0,0.0,0.0,92780,1000000.0,100000.0,10.0,500000.0,20.0,,"['자동차부품', '수소차(연료전지/부품/충전소 등)']",0.0799,,,,6070.0
41,17940,KOSPI,E1,0.0,0.0,0.0,0.0,0.0,0.0,17940,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['셰일가스(Shale Gas)', 'LPG(액화석유가스)']",0.5632,0.0,0.002,0.998,82100.0
42,418620,KOSDAQ,E8,0.0,0.0,0.0,0.0,0.0,0.0,418620,1000000.0,100000.0,10.0,500000.0,20.0,,['가상현실(VR)'],0.0249,,,,1255.0
